observation_date,MEXCPICORMINMEI
1980-01-01,0.06246145000000000
1980-02-01,0.06403271000000001
1980-03-01,0.06545388000000001
1980-04-01,0.06657960000000000
1980-05-01,0.06767099000000000
1980-06-01,0.06871035000000000
1980-07-01,0.07030145000000000
1980-08-01,0.07164851999999999
1980-09-01,0.07263752000000000
1980-10-01,0.07401613999999999
1980-11-01,0.07538904000000000
1980-12-01,0.07723480000000001
1981-01-01,0.08011372999999999
1981-02-01,0.08236106999999999
1981-03-01,0.08428761000000000
1981-04-01,0.08635002000000000
1981-05-01,0.08775210000000000
1981-06-01,0.08900639000000000
1981-07-01,0.09067335999999999
1981-08-01,0.09251773000000001
1981-09-01,0.09427222000000000
1981-10-01,0.09641450999999999
1981-11-01,0.09837124000000000
1981-12-01,0.10086550000000000
1982-01-01,0.10521050000000000
1982-02-01,0.11004949999999999
1982-03-01,0.11478139999999989
1982-04-01,0.12104520000000001
1982-05-01,0.12813900000000000
1982-06-01,0.13491700000000001
1982-07-01,0.14165169999999999
1982-08-01,0.15493170000000001
1982-09-01,0.16354489999999999
1982-10-01,0.17140000000000000
1982-11-01,0.18090090000000000
1982-12-01,0.19695330000000000
1983-01-01,0.22221990000000000
1983-02-01,0.23621129999999990
1983-03-01,0.24863879999999999
1983-04-01,0.26240580000000002
1983-05-01,0.27411869999999999
1983-06-01,0.28489379999999997
1983-07-01,0.29817899999999992
1983-08-01,0.31112979999999990
1983-09-01,0.32165809999999989
1983-10-01,0.33273150000000001
1983-11-01,0.34968139999999998
1983-12-01,0.36344140000000003
1984-01-01,0.38300429999999991
1984-02-01,0.40310869999999999
1984-03-01,0.42035390000000000
1984-04-01,0.43559389999999998
1984-05-01,0.44839250000000003
1984-06-01,0.46466910000000000
1984-07-01,0.48006859999999990
1984-08-01,0.49479730000000000
1984-09-01,0.51205749999999994
1984-10-01,0.53054540000000006
1984-11-01,0.54827819999999994
1984-12-01,0.56736430000000004
1985-01-01,0.60320220000000002
1985-02-01,0.62807760000000001
1985-03-01,0.65448839999999997
1985-04-01,0.67448999999999992
1985-05-01,0.69305799999999995
1985-06-01,0.71259730000000010
1985-07-01,0.73994059999999995
1985-08-01,0.77420740000000010
1985-09-01,0.80914399999999997
1985-10-01,0.84214100000000003
1985-11-01,0.88431939999999998
1985-12-01,0.93392560000000002
1986-01-01,1.00841500000000006
1986-02-01,1.05997300000000005
1986-03-01,1.11038199999999998
1986-04-01,1.16220799999999991
1986-05-01,1.21706300000000001
1986-06-01,1.29158200000000001
1986-07-01,1.36402500000000004
1986-08-01,1.47983299999999995
1986-09-01,1.56822200000000000
1986-10-01,1.65988599999999997
1986-11-01,1.77082700000000015
1986-12-01,1.90340599999999993
1987-01-01,2.07308800000000026
1987-02-01,2.21672400000000014
1987-03-01,2.36684199999999967
1987-04-01,2.55357700000000021
1987-05-01,2.74973499999999982
1987-06-01,2.95754500000000009
1987-07-01,3.20827900000000010
1987-08-01,3.46246500000000035
1987-09-01,3.70203399999999982
1987-10-01,4.01609800000000039
1987-11-01,4.37480699999999967
1987-12-01,5.01582600000000056
1988-01-01,5.70778799999999986
1988-02-01,6.24234000000000044
1988-03-01,6.60889400000000027
1988-04-01,6.81601899999999983
1988-05-01,6.96076499999999943
1988-06-01,7.08175899999999992
1988-07-01,7.16645500000000002
1988-08-01,7.25261699999999987
1988-09-01,7.30206199999999850
1988-10-01,7.35538600000000020
1988-11-01,7.42871000000000148
1988-12-01,7.54447799999999980
1989-01-01,7.74831199999999853
1989-02-01,7.90286400000000011
1989-03-01,8.01518200000000114
1989-04-01,8.12067899999999909
1989-05-01,8.22304699999999933
1989-06-01,8.31364299999999901
1989-07-01,8.39812700000000056
1989-08-01,8.49631699999999945
1989-09-01,8.62141199999999941
1989-10-01,8.75509800000000027
1989-11-01,8.88468999999999909
1989-12-01,9.14775099999999952
1990-01-01,9.58493600000000079
1990-02-01,9.78620599999999996
1990-03-01,9.94428100000000015
1990-04-01,10.12522000000000055
1990-05-01,10.33248999999999995
1990-06-01,10.56201000000000079
1990-07-01,10.75949999999999918
1990-08-01,10.93815999999999988
1990-09-01,11.12632999999999939
1990-10-01,11.31803000000000026
1990-11-01,11.58431000000000033
1990-12-01,11.91736000000000040
1991-01-01,12.23423999999999978
1991-02-01,12.47841999999999985
1991-03-01,12.68762000000000079
1991-04-01,12.83067999999999920
1991-05-01,12.95520999999999923
1991-06-01,13.09032999999999980
1991-07-01,13.21775000000000055
1991-08-01,13.33572000000000202
1991-09-01,13.51007000000000069
1991-10-01,13.68866000000000049
1991-11-01,13.95810999999999957
1991-12-01,14.22799999999999976
1992-01-01,14.50970000000000049
1992-02-01,14.70523999999999987
1992-03-01,14.85984000000000016
1992-04-01,15.01064000000000043
1992-05-01,15.16519000000000084
1992-06-01,15.29945999999999984
1992-07-01,15.42458000000000062
1992-08-01,15.55962000000000067
1992-09-01,15.73844000000000065
1992-10-01,15.86002999999999830
1992-11-01,15.99258999999999986
1992-12-01,16.17434000000000083
1993-01-01,16.38684999999999903
1993-02-01,16.56208999999999776
1993-03-01,16.71973999999999805
1993-04-01,16.83887000000000000
1993-05-01,16.92649000000000115
1993-06-01,17.02272999999999925
1993-07-01,17.10222000000000264
1993-08-01,17.21365000000000123
1993-09-01,17.36792000000000158
1993-10-01,17.47145000000000081
1993-11-01,17.55542000000000158
1993-12-01,17.65612999999999744
1994-01-01,17.77172999999999803
1994-02-01,17.91499999999999915
1994-03-01,18.02683999999999997
1994-04-01,18.12915999999999883
1994-05-01,18.22120999999999924
1994-06-01,18.30723000000000056
1994-07-01,18.36981000000000108
1994-08-01,18.45283999999999835
1994-09-01,18.58963999999999928
1994-10-01,18.67493999999999943
1994-11-01,18.76672999999999902
1994-12-01,18.91293999999999897
1995-01-01,19.55495000000000161
1995-02-01,20.35773000000000010
1995-03-01,21.53803999999999874
1995-04-01,23.21440000000000126
1995-05-01,24.14485000000000170
1995-06-01,24.82327000000000083
1995-07-01,25.26206000000000174
1995-08-01,25.69559999999999889
1995-09-01,26.24327000000000254
1995-10-01,26.68149999999999977
1995-11-01,27.16764999999999830
1995-12-01,27.93497999999999948
1996-01-01,28.91153999999999868
1996-02-01,29.56541999999999959
1996-03-01,30.21012999999999948
1996-04-01,30.91217999999999932
1996-05-01,31.42072000000000287
1996-06-01,31.92517999999999745
1996-07-01,32.39770999999999646
1996-08-01,32.85835999999999757
1996-09-01,33.43881999999999977
1996-10-01,33.82751999999999981
1996-11-01,34.26136999999999944
1996-12-01,35.42305000000000348
1997-01-01,36.20074000000000325
1997-02-01,36.86102999999999952
1997-03-01,37.39911000000000030
1997-04-01,37.88683999999999941
1997-05-01,38.31909999999999883
1997-06-01,38.71233000000000146
1997-07-01,39.06884000000000157
1997-08-01,39.41725999999999885
1997-09-01,39.92766999999999911
1997-10-01,40.28704000000000462
1997-11-01,40.70150000000000290
1997-12-01,41.23839999999999861
1998-01-01,42.13432000000000244
1998-02-01,42.88329000000000235
1998-03-01,43.39759999999999707
1998-04-01,43.84002000000000265
1998-05-01,44.21526000000000067
1998-06-01,44.61225000000000307
1998-07-01,44.98913000000000295
1998-08-01,45.46500999999999948
1998-09-01,46.21851999999999805
1998-10-01,46.74472999999999701
1998-11-01,47.37115000000000009
1998-12-01,48.38594000000000506
1999-01-01,49.36348000000000269
1999-02-01,50.24602000000000146
1999-03-01,51.02691000000000088
1999-04-01,51.61921999999999855
1999-05-01,52.03554000000000457
1999-06-01,52.42762000000000455
1999-07-01,52.79835999999999530
1999-08-01,53.18621000000000265
1999-09-01,53.86449999999999960
1999-10-01,54.25303000000000253
1999-11-01,54.72514999999999930
1999-12-01,55.19962000000000302
2000-01-01,55.98611999999999256
2000-02-01,56.62446999999999520
2000-03-01,56.99625000000000341
2000-04-01,57.31954999999999956
2000-05-01,57.53705000000000069
2000-06-01,57.79305999999999699
2000-07-01,58.02121000000000350
2000-08-01,58.32968000000000330
2000-09-01,58.84038999999999930
2000-10-01,59.21330999999999989
2000-11-01,59.67770000000000152
2000-12-01,60.07966999999999302
2001-01-01,60.48210000000000264
2001-02-01,60.84113000000000682
2001-03-01,61.19694000000000500
2001-04-01,61.44286999999999210
2001-05-01,61.62744000000000000
2001-06-01,61.81095999999999435
2001-07-01,61.80526999999999305
2001-08-01,62.01996999999999360
2001-09-01,62.56544000000000239
2001-10-01,62.76693000000000211
2001-11-01,62.98906999999999812
2001-12-01,63.13029000000000224
2002-01-01,62.79182999999999737
2002-02-01,62.99854000000000553
2002-03-01,63.27943000000000495
2002-04-01,63.57034999999999769
2002-05-01,63.70456999999999681
2002-06-01,63.90831000000000017
2002-07-01,64.05920000000000414
2002-08-01,64.29331999999999425
2002-09-01,64.74661999999999296
2002-10-01,64.90900999999999499
2002-11-01,65.11650000000000205
2002-12-01,65.26809000000000083
2003-01-01,65.55089999999999861
2003-02-01,65.82689999999999486
2003-03-01,66.07931999999999562
2003-04-01,66.27258000000000493
2003-05-01,66.33679999999999666
2003-06-01,66.40178000000000225
2003-07-01,66.50303000000000964
2003-08-01,66.74759000000000242
