observation_date,MEXCP040100IXOBM
1980-01-01,0.07535158000000000
1980-02-01,0.07808639999999990
1980-03-01,0.08023197999999999
1980-04-01,0.08214059000000000
1980-05-01,0.08398942000000000
1980-06-01,0.08578274000000000
1980-07-01,0.08799878000000000
1980-08-01,0.08974513000000001
1980-09-01,0.09138047000000001
1980-10-01,0.09318447000000001
1980-11-01,0.09522331000000001
1980-12-01,0.09753755000000000
1981-01-01,0.10009520000000000
1981-02-01,0.10263139999999990
1981-03-01,0.10480480000000000
1981-04-01,0.10759940000000000
1981-05-01,0.11032989999999999
1981-06-01,0.11267400000000000
1981-07-01,0.11496689999999990
1981-08-01,0.11769960000000000
1981-09-01,0.12063299999999989
1981-10-01,0.12338270000000000
1981-11-01,0.12626270000000001
1981-12-01,0.13003719999999999
1982-01-01,0.13366919999999999
1982-02-01,0.13911170000000000
1982-03-01,0.14535029999999999
1982-04-01,0.15167300000000000
1982-05-01,0.15954119999999999
1982-06-01,0.16603029999999999
1982-07-01,0.17553579999999999
1982-08-01,0.18613489999999999
1982-09-01,0.19521150000000001
1982-10-01,0.20515810000000001
1982-11-01,0.21496579999999990
1982-12-01,0.22514550000000000
1983-01-01,0.23734009999999989
1983-02-01,0.24778449999999999
1983-03-01,0.25870900000000002
1983-04-01,0.26987390000000000
1983-05-01,0.28035929999999998
1983-06-01,0.29001339999999998
1983-07-01,0.29997009999999991
1983-08-01,0.30974079999999998
1983-09-01,0.31978570000000001
1983-10-01,0.32906510000000000
1983-11-01,0.34143609999999991
1983-12-01,0.35292079999999998
1984-01-01,0.36649299999999990
1984-02-01,0.38233859999999997
1984-03-01,0.39431129999999998
1984-04-01,0.40373969999999998
1984-05-01,0.41416959999999992
1984-06-01,0.42491990000000007
1984-07-01,0.43667170000000000
1984-08-01,0.44805079999999992
1984-09-01,0.45982760000000000
1984-10-01,0.47136850000000002
1984-11-01,0.48406800000000000
1984-12-01,0.49835140000000000
1985-01-01,0.51756980000000008
1985-02-01,0.53678870000000001
1985-03-01,0.55684359999999999
1985-04-01,0.57376190000000005
1985-05-01,0.59096969999999993
1985-06-01,0.60763280000000008
1985-07-01,0.63141059999999993
1985-08-01,0.65461619999999998
1985-09-01,0.67968260000000003
1985-10-01,0.70479480000000005
1985-11-01,0.74484740000000005
1985-12-01,0.77569540000000003
1986-01-01,0.81496740000000001
1986-02-01,0.85457929999999993
1986-03-01,0.88748430000000011
1986-04-01,0.92196599999999995
1986-05-01,0.95541640000000005
1986-06-01,0.99970700000000001
1986-07-01,1.03613400000000011
1986-08-01,1.07583799999999985
1986-09-01,1.12396600000000002
1986-10-01,1.17765800000000009
1986-11-01,1.22934399999999999
1986-12-01,1.31551499999999999
1987-01-01,1.39138199999999990
1987-02-01,1.44208699999999990
1987-03-01,1.52471099999999993
1987-04-01,1.60445299999999991
1987-05-01,1.68102700000000005
1987-06-01,1.76705000000000001
1987-07-01,1.84580400000000000
1987-08-01,1.94958800000000010
1987-09-01,2.05661399999999972
1987-10-01,2.17374500000000026
1987-11-01,2.34831199999999995
1987-12-01,2.55471100000000018
1988-01-01,2.74441800000000002
1988-02-01,2.97671200000000002
1988-03-01,3.30031900000000045
1988-04-01,3.59309100000000026
1988-05-01,3.92845000000000022
1988-06-01,4.21333100000000016
1988-07-01,4.52021400000000018
1988-08-01,4.80496699999999954
1988-09-01,5.08878699999999995
1988-10-01,5.38619899999999951
1988-11-01,5.64046599999999998
1988-12-01,5.93988099999999974
1989-01-01,6.30973600000000001
1989-02-01,6.64233299999999982
1989-03-01,6.89312299999999922
1989-04-01,7.09900000000000020
1989-05-01,7.35241000000000167
1989-06-01,7.58690300000000040
1989-07-01,7.84563100000000002
1989-08-01,8.10271400000000064
1989-09-01,8.40930700000000009
1989-10-01,8.68730000000000047
1989-11-01,8.97419299999999964
1989-12-01,9.29433700000000051
1990-01-01,9.65437099999999937
1990-02-01,9.96080100000000002
1990-03-01,10.27575000000000038
1990-04-01,10.63072999999999979
1990-05-01,10.95875000000000021
1990-06-01,11.30255000000000010
1990-07-01,11.67489999999999917
1990-08-01,12.02608000000000033
1990-09-01,12.37567999999999913
1990-10-01,12.71752000000000038
1990-11-01,13.08516999999999975
1990-12-01,13.50130000000000052
1991-01-01,13.92375999999999969
1991-02-01,14.28678999999999988
1991-03-01,14.59293000000000085
1991-04-01,14.82460000000000022
1991-05-01,15.02843999999999980
1991-06-01,15.21076000000000050
1991-07-01,15.39952000000000076
1991-08-01,15.56767999999999930
1991-09-01,15.76235999999999926
1991-10-01,15.97401999999999944
1991-11-01,16.20645999999999987
1991-12-01,16.55607999999999791
1992-01-01,16.97197999999999851
1992-02-01,17.27122999999999919
1992-03-01,17.49155000000000015
1992-04-01,17.66626000000000118
1992-05-01,17.85442999999999714
1992-06-01,18.04494000000000042
1992-07-01,18.22957999999999856
1992-08-01,18.40691999999999950
1992-09-01,18.56105000000000160
1992-10-01,18.68985999999999947
1992-11-01,18.82231000000000165
1992-12-01,18.95989000000000146
1993-01-01,19.14604999999999890
1993-02-01,19.33549000000000007
1993-03-01,19.49645999999999901
1993-04-01,19.63446000000000069
1993-05-01,19.75268000000000157
1993-06-01,19.86344000000000065
1993-07-01,19.98654000000000153
1993-08-01,20.08663999999999916
1993-09-01,20.17295000000000016
1993-10-01,20.28075000000000117
1993-11-01,20.37921000000000049
1993-12-01,20.52368999999999843
1994-01-01,20.68990000000000151
1994-02-01,20.85352999999999923
1994-03-01,20.97755000000000081
1994-04-01,21.09503000000000128
1994-05-01,21.21155999999999864
1994-06-01,21.32743999999999929
1994-07-01,21.43420000000000059
1994-08-01,21.53006999999999849
1994-09-01,21.61991000000000085
1994-10-01,21.71048000000000044
1994-11-01,21.79410000000000025
1994-12-01,21.94518000000000058
1995-01-01,22.53716000000000008
1995-02-01,23.40371999999999986
1995-03-01,24.21369999999999933
1995-04-01,25.15221000000000018
1995-05-01,26.53349000000000402
1995-06-01,27.72241999999999962
1995-07-01,28.61779999999999902
1995-08-01,29.27130000000000010
1995-09-01,29.84345000000000070
1995-10-01,30.39937999999999718
1995-11-01,30.89532000000000167
1995-12-01,31.54625999999999664
1996-01-01,32.20636999999999972
1996-02-01,32.81652000000000413
1996-03-01,33.39977999999999980
1996-04-01,33.96830999999999534
1996-05-01,34.56587000000000387
1996-06-01,35.13631999999999778
1996-07-01,35.73324000000000211
1996-08-01,36.33207999999999771
1996-09-01,36.90785999999999945
1996-10-01,37.38714999999999833
1996-11-01,37.85896999999999935
1996-12-01,38.48299999999999699
1997-01-01,39.27078000000000202
