observation_date,CPGREN01MXM657N
1980-01-01,2.4672118258591200224
1980-02-01,0.4149534455804900213
1980-03-01,0.3730026428456539866
1980-04-01,0.5102122082201639985
1980-05-01,-2.5423557828042198103
1980-06-01,-0.8844090398249200291
1980-07-01,0.4526649926960150117
1980-08-01,0.0940985092952728031
1980-09-01,3.2155525865538101549
1980-10-01,2.3885357828079598619
1980-11-01,0.8697913558912460097
1980-12-01,2.3114686448386501105
1981-01-01,1.0726554928712599413
1981-02-01,0.9462545084463149792
1981-03-01,1.0093280733526799331
1981-04-01,0.9076317108683320534
1981-05-01,-2.7075419455276699132
1981-06-01,-0.5121642348182550153
1981-07-01,0.9817060297844140138
1981-08-01,1.0162077939248299607
1981-09-01,4.0620348124763108189
1981-10-01,1.8451927010219999481
1981-11-01,1.7510602428697799038
1981-12-01,15.9599627582243002166
1982-01-01,27.4924548814843987543
1982-02-01,0.7368059684134989906
1982-03-01,0.8457617798440919543
1982-04-01,0.6401768291459679627
1982-05-01,-1.9486307171022900775
1982-06-01,-0.4822341655970979746
1982-07-01,0.6920883078536269606
1982-08-01,54.9197657465239075236
1982-09-01,2.5079346545420500014
1982-10-01,1.3011649053903799889
1982-11-01,1.3238416281064899760
1982-12-01,73.0701977595681881894
1983-01-01,4.6701767022660094497
1983-02-01,2.1431280432388701840
1983-03-01,1.3597803644883599272
1983-04-01,12.4478550421040008445
1983-05-01,1.8269585961175600630
1983-06-01,0.9849853097711189776
1983-07-01,1.7816704029487400174
1983-08-01,1.2403063997763399406
1983-09-01,1.6878086814517498926
1983-10-01,3.8652665325374000460
1983-11-01,15.2253809622953006908
1983-12-01,0.6531561821686370228
1984-01-01,5.9464098622459600207
1984-02-01,1.3897075907676799122
1984-03-01,1.2920095316604700564
1984-04-01,13.5949241610676008207
1984-05-01,7.3139987057354591826
1984-06-01,0.2678692400468110080
1984-07-01,0.7082816087719729925
1984-08-01,0.4841561958169550151
1984-09-01,0.7795327294141289887
1984-10-01,0.4922150958371799834
1984-11-01,1.3789187246967300471
1984-12-01,0.8493330096138910212
1985-01-01,26.3885349770606012498
1985-02-01,2.8124691832525599011
1985-03-01,1.2778320307085500041
1985-04-01,0.9926584801823360449
1985-05-01,-0.0688896627299750985
1985-06-01,0.3880378542011450049
1985-07-01,0.8607535033638229471
1985-08-01,0.9137033421501540298
1985-09-01,1.4940731652124099593
1985-10-01,1.2174812741011600270
1985-11-01,1.3984799169086499226
1985-12-01,36.4701645592539023255
1986-01-01,13.8165096490518006789
1986-02-01,3.0042168033768801294
1986-03-01,3.0421727845657398071
1986-04-01,2.2888616420711698218
1986-05-01,1.7294460447678099424
1986-06-01,2.3773971888216101078
1986-07-01,2.2398762832803198464
1986-08-01,22.4098496627835004347
1986-09-01,7.8228156357902003393
1986-10-01,3.4510962613011098021
1986-11-01,11.0243394736989994698
1986-12-01,9.3113875762027387140
1987-01-01,3.1263601154085698397
1987-02-01,1.2422115355146299276
1987-03-01,0.9870445236653000443
1987-04-01,24.5447093406080014688
1987-05-01,1.7239660737091200282
1987-06-01,0.9278848742441290209
1987-07-01,6.3441462454705295215
1987-08-01,18.4882079221897015486
1987-09-01,0.4952735002188459745
1987-10-01,1.4119588151175399560
1987-11-01,0.9190733165294829865
1987-12-01,43.7649919890640006770
1988-01-01,25.7592516789181011916
1988-02-01,1.3699003095952799747
1988-03-01,0.1080575412718220024
1988-04-01,-0.1509063656233199935
1988-05-01,-0.3468016373306920253
1988-06-01,0.0453874227101824998
1988-07-01,0.0117348391254600993
1988-08-01,0.0421120667497631995
1988-09-01,0.0032719478140851000
1988-10-01,0.5257396830810520116
1988-11-01,0.4007354948567100061
1988-12-01,0.0185704910694458013
1989-01-01,0.0309277392347645994
1989-02-01,0.0995515016257863955
1989-03-01,0.0321813856330804976
1989-04-01,-0.4635145694910760006
1989-05-01,-0.3992897914718939734
1989-06-01,0.0200204015983741004
1989-07-01,-0.0000838154227370000
1989-08-01,0.0160366178551866988
1989-09-01,0.9237896049657929876
1989-10-01,4.5460347873708100153
1989-11-01,2.5866924683008800656
1989-12-01,6.1009798843678604285
1990-01-01,1.2260637183758700264
1990-02-01,0.0475477520184732008
1990-03-01,0.1113213064296449950
1990-04-01,-0.6639714291086119546
1990-05-01,0.3113252051007689980
1990-06-01,7.8186080990750301822
1990-07-01,0.4505853411747389736
1990-08-01,0.3083250492400270160
1990-09-01,0.8107032360627539624
1990-10-01,1.5807019229731200660
1990-11-01,10.2977069886915995056
1990-12-01,5.5425477286799100796
1991-01-01,0.1101386661115120041
1991-02-01,1.6241116823915000555
1991-03-01,2.1397838336957302197
1991-04-01,-0.7020866556147350446
1991-05-01,-0.5523146516203309986
1991-06-01,0.1689450402357109970
1991-07-01,0.0823428076400504055
1991-08-01,0.1363516272880299918
1991-09-01,0.2204443367239959928
1991-10-01,0.9112242173852790339
1991-11-01,20.3482739338512992333
1991-12-01,8.8516670556143601800
1992-01-01,0.1545542206250890005
1992-02-01,0.1704885399221849895
1992-03-01,0.5333112232119470164
1992-04-01,-0.2550874825023219938
1992-05-01,0.0638297846603138042
1992-06-01,0.7216324532904959677
1992-07-01,0.5183315558859710181
1992-08-01,0.4741058031661429806
1992-09-01,0.3042080783541000200
1992-10-01,1.2962005656549000499
1992-11-01,1.5779833315318398945
1992-12-01,1.0992634399299499037
1993-01-01,1.4435986577410699905
1993-02-01,1.3919450195312799146
1993-03-01,1.1048796368508300159
1993-04-01,0.3174650390060809735
1993-05-01,0.3966794535407189848
1993-06-01,0.9945193197414069486
1993-07-01,0.9531850534195189795
1993-08-01,1.0001016381700000846
1993-09-01,1.0525348562185199430
1993-10-01,1.4028693532921399090
1993-11-01,1.8275983914815399078
1993-12-01,0.7724178213143869653
