observation_date,MEXCPIFODMINMEI
1969-01-01,0.0167581455060075
1969-02-01,0.0168556733737466
1969-03-01,0.0167495900126533
1969-04-01,0.0168077609565289
1969-05-01,0.0167547187589715
1969-06-01,0.0168265873847981
1969-07-01,0.0170250698673121
1969-08-01,0.0171071970197965
1969-09-01,0.0174853417606840
1969-10-01,0.0175264079219797
1969-11-01,0.0175144339537610
1969-12-01,0.0177334458978479
1970-01-01,0.0177693833128255
1970-02-01,0.0177522723261172
1970-03-01,0.0177882035369661
1970-04-01,0.0177864942995339
1970-05-01,0.0178018888106599
1970-06-01,0.0179764212886937
1970-07-01,0.0181492372911453
1970-08-01,0.0181920137238947
1970-09-01,0.0182125442194890
1970-10-01,0.0181287005914223
1970-11-01,0.0181287005914223
1970-12-01,0.0184623586281067
1971-01-01,0.0185222460475645
1971-02-01,0.0185941146733910
1971-03-01,0.0186745325884431
1971-04-01,0.0187789056780827
1971-05-01,0.0187754861691967
1971-06-01,0.0187840416625509
1971-07-01,0.0187977259022233
1971-08-01,0.0188849952433045
1971-09-01,0.0189585679364561
1971-10-01,0.0189876590955117
1971-11-01,0.0189808138736113
1971-12-01,0.0190253005778144
1972-01-01,0.0190492567864232
1972-02-01,0.0191484949256160
1972-03-01,0.0193144719102956
1972-04-01,0.0193948898253477
1972-05-01,0.0194291107647430
1972-06-01,0.0196378579780434
1972-07-01,0.0196532586932981
1972-08-01,0.0197644780388596
1972-09-01,0.0197764592452283
1972-10-01,0.0197336828124788
1972-11-01,0.0199698057432741
1972-12-01,0.0200382486560861
1973-01-01,0.0202333116297142
1973-02-01,0.0204677253230772
1973-03-01,0.0207021379824188
1973-04-01,0.0211435958557786
1973-05-01,0.0215251601055520
1973-06-01,0.0217373330318671
1973-07-01,0.0229128323818038
1973-08-01,0.0233987759253454
1973-09-01,0.0243381461403583
1973-10-01,0.0245828307686363
1973-11-01,0.0249404450139295
1973-12-01,0.0256009148313762
1974-01-01,0.0271750894177948
1974-02-01,0.0281572422696857
1974-03-01,0.0283694089918722
1974-04-01,0.0287304427460513
1974-05-01,0.0290435702871413
1974-06-01,0.0295158223528604
1974-07-01,0.0298597461543526
1974-08-01,0.0302361795897650
1974-09-01,0.0303747746528212
1974-10-01,0.0308829589634108
1974-11-01,0.0314767023436278
1974-12-01,0.0315776507542742
1975-01-01,0.0316768950975955
1975-02-01,0.0317350722455997
1975-03-01,0.0318582665934012
1975-04-01,0.0319643499544944
1975-05-01,0.0328061974718755
1975-06-01,0.0336565953125035
1975-07-01,0.0340193383041149
1975-08-01,0.0341220021563222
1975-09-01,0.0342657332038466
1975-10-01,0.0343632610715857
1975-11-01,0.0345241031058185
1975-12-01,0.0346541426755206
1976-01-01,0.0350339966538403
1976-02-01,0.0355952283320943
1976-03-01,0.0357920005431547
1976-04-01,0.0358963746668156
1976-05-01,0.0360144392342776
1976-06-01,0.0360948571493297
1976-07-01,0.0363891572281290
1976-08-01,0.0365020868451442
1976-09-01,0.0376570556994866
1976-10-01,0.0399515937269384
1976-11-01,0.0409850723008043
1976-12-01,0.0423060119356978
1977-01-01,0.0440974954328996
1977-02-01,0.0449153805375432
1977-03-01,0.0457401118981087
1977-04-01,0.0469515486630231
1977-05-01,0.0473348221502287
1977-06-01,0.0478139204718698
1977-07-01,0.0481356035063140
1977-08-01,0.0491827725239810
1977-09-01,0.0504130243429287
1977-10-01,0.0505772848520261
1977-11-01,0.0510118964694640
1977-12-01,0.0516706570494785
1978-01-01,0.0521172436691565
1978-02-01,0.0524064150016377
1978-03-01,0.0530720145994241
1978-04-01,0.0540387667360604
1978-05-01,0.0547693887037514
1978-06-01,0.0560680824014897
1978-07-01,0.0576268624767822
1978-08-01,0.0579143235378097
1978-09-01,0.0580409373944972
1978-10-01,0.0584635740096950
1978-11-01,0.0589306911249673
1978-12-01,0.0595672057678266
1979-01-01,0.0624674549395855
1979-02-01,0.0629379977678724
1979-03-01,0.0634290772958821
1979-04-01,0.0639937233129149
1979-05-01,0.0651384264024495
1979-06-01,0.0657424293433458
1979-07-01,0.0665757151632441
1979-08-01,0.0677135740648996
1979-09-01,0.0683706243734604
1979-10-01,0.0697908021475466
1979-11-01,0.0704324517408528
1979-12-01,0.0716695487817010
1980-01-01,0.0736441130121408
1980-02-01,0.0751549868743442
1980-03-01,0.0765580536617220
1980-04-01,0.0780620750638749
1980-05-01,0.0797029884957804
1980-06-01,0.0824030397434643
1980-07-01,0.0858457014033580
1980-08-01,0.0881128564751648
1980-09-01,0.0883524051189747
1980-10-01,0.0888161027253610
1980-11-01,0.0901849558114937
1980-12-01,0.0929551654135504
1981-01-01,0.0950443684984376
1981-02-01,0.0967297686345462
1981-03-01,0.0984408280125673
1981-04-01,0.1003349743279550
1981-05-01,0.1020049727147870
1981-06-01,0.1035380801058890
1981-07-01,0.1051550373291850
1981-08-01,0.1074940610268190
1981-09-01,0.1091794539247770
1981-10-01,0.1114962316852560
1981-11-01,0.1133715588105240
1981-12-01,0.1154350954153490
1982-01-01,0.1202644005001660
1982-02-01,0.1234870130924740
1982-03-01,0.1264137838800220
1982-04-01,0.1339138846440590
1982-05-01,0.1418434631091100
1982-06-01,0.1477941954609570
1982-07-01,0.1567374013563620
1982-08-01,0.1748113505127950
1982-09-01,0.1838649216520550
1982-10-01,0.1961594189372610
1982-11-01,0.2046526187041020
1982-12-01,0.2195836865930460
1983-01-01,0.2353304185085920
1983-02-01,0.2435857850731840
1983-03-01,0.2542154147859180
1983-04-01,0.2729585640027740
1983-05-01,0.2852279014784200
1983-06-01,0.2964678726834480
1983-07-01,0.3151952716858040
1983-08-01,0.3250181423645370
1983-09-01,0.3331109514533350
1983-10-01,0.3426978594745940
1983-11-01,0.3644714670124270
1983-12-01,0.3860558341513320
1984-01-01,0.4209300186562890
1984-02-01,0.4463914770847540
1984-03-01,0.4677087502828390
1984-04-01,0.4891564001416150
1984-05-01,0.5065496860759940
1984-06-01,0.5279093934457340
1984-07-01,0.5471745797583470
1984-08-01,0.5618895433714800
1984-09-01,0.5735454745152990
1984-10-01,0.5947843709566450
1984-11-01,0.6185465764638350
1984-12-01,0.6601431824836470
1985-01-01,0.7081042535119280
1985-02-01,0.7397317006704740
1985-03-01,0.7658324128645800
1985-04-01,0.7925130094496080
1985-05-01,0.8071181196594950
1985-06-01,0.8238990167391390
1985-07-01,0.8488548624683240
1985-08-01,0.8851112410039690
1985-09-01,0.9123696611751990
1985-10-01,0.9441093513605280
1985-11-01,0.9826322056158970
1985-12-01,1.0381228066922801
1986-01-01,1.1434207137291299
1986-02-01,1.1782113979011399
1986-03-01,1.2333226568398099
1986-04-01,1.3220290819455700
1986-05-01,1.4323138830700399
1986-06-01,1.5442666300487999
1986-07-01,1.6052767775726000
1986-08-01,1.6767418537856200
1986-09-01,1.7728090990361500
1986-10-01,1.8759064078589101
1986-11-01,1.9913938650857099
1986-12-01,2.1641296977873101
1987-01-01,2.3157099585968699
1987-02-01,2.5255125293307601
1987-03-01,2.7065966323208301
1987-04-01,2.9319228158930399
1987-05-01,3.1744390164318799
1987-06-01,3.4139177397122502
1987-07-01,3.6683595235047695
1987-08-01,3.9293060900485202
