observation_date,MEXCPIHOUMINMEI
1980-01-01,0.0857910852894856
1980-02-01,0.0889049034473595
1980-03-01,0.0913475939265763
1980-04-01,0.0935209150296389
1980-05-01,0.0956261285347533
1980-06-01,0.0976678259653769
1980-07-01,0.1001908681050940
1980-08-01,0.1021789977620510
1980-09-01,0.1040408605239350
1980-10-01,0.1060948020171110
1980-11-01,0.1084158171247130
1980-12-01,0.1110505863352210
1981-01-01,0.1139631427148890
1981-02-01,0.1168504457155420
1981-03-01,0.1193252768589590
1981-04-01,0.1225064373608720
1981-05-01,0.1256156639952880
1981-06-01,0.1282848696317260
1981-07-01,0.1308951507171290
1981-08-01,0.1340066731132750
1981-09-01,0.1373462411744600
1981-10-01,0.1404768949183430
1981-11-01,0.1437560079206750
1981-12-01,0.1480529086226810
1982-01-01,0.1521883407497760
1982-02-01,0.1583846016552330
1982-03-01,0.1654876884434820
1982-04-01,0.1726864319704220
1982-05-01,0.1816452594892790
1982-06-01,0.1890330207318720
1982-07-01,0.1998552415204330
1982-08-01,0.2119232956737060
1982-09-01,0.2222572844679870
1982-10-01,0.2335815118211980
1982-11-01,0.2447480968690460
1982-12-01,0.2563386325827740
1983-01-01,0.2702226342633600
1983-02-01,0.2821139147635320
1983-03-01,0.2945515865551080
1983-04-01,0.3072639845002050
1983-05-01,0.3192019454888590
1983-06-01,0.3301932873914250
1983-07-01,0.3415297588071880
1983-08-01,0.3526542548900130
1983-09-01,0.3640902093140150
1983-10-01,0.3746553047889740
1983-11-01,0.3887405682477660
1983-12-01,0.4018164617998890
1984-01-01,0.4172692339950100
1984-02-01,0.4353100949121580
1984-03-01,0.4489415628025990
1984-04-01,0.4596757793915630
1984-05-01,0.4715509895596360
1984-06-01,0.4837904605886440
1984-07-01,0.4971701599428500
1984-08-01,0.5101259086311770
1984-09-01,0.5235346876339459
1984-10-01,0.5366740972605600
1984-11-01,0.5511335698811120
1984-12-01,0.5673952154586051
1985-01-01,0.5892768857476790
1985-02-01,0.6111585560367540
1985-03-01,0.6339914369353730
1985-04-01,0.6532536430921290
1985-05-01,0.6728456736838920
1985-06-01,0.6918170833550280
1985-07-01,0.7188894709124380
1985-08-01,0.7453098621389290
1985-09-01,0.7738492414409061
1985-10-01,0.8024406580087320
1985-11-01,0.8480421384775700
1985-12-01,0.8831642319093160
1986-01-01,0.9278772525891900
1986-02-01,0.9729774917472860
1986-03-01,1.0104412621421901
1986-04-01,1.0497003182088500
1986-05-01,1.0877847095243900
1986-06-01,1.1382118811467099
1986-07-01,1.1796855820275500
1986-08-01,1.2248906609712500
1986-09-01,1.2796859019091700
1986-10-01,1.3408166799640799
1986-11-01,1.3996639403529600
1986-12-01,1.4977733178241399
1987-01-01,1.5841513528622300
1987-02-01,1.6418813425431900
1987-03-01,1.7359517098798800
1987-04-01,1.8267421989603101
1987-05-01,1.9139260463651400
1987-06-01,2.0118670679762198
1987-07-01,2.1015311033018298
1987-08-01,2.2196939594722198
1987-09-01,2.3415484005021701
1987-10-01,2.4749069035540798
1987-11-01,2.6736594141908800
1987-12-01,2.9086543499829700
1988-01-01,3.1246442049319199
1988-02-01,3.3891213128425299
1988-03-01,3.7575627558861298
1988-04-01,4.0908966453222604
1988-05-01,4.4727177877200708
1988-06-01,4.7970675962583300
1988-07-01,5.1464679915250198
1988-08-01,5.4706716365665597
1988-09-01,5.7938138744355907
1988-10-01,6.1324310768631101
1988-11-01,6.4219258655840497
1988-12-01,6.7628235246619601
1989-01-01,7.1839197934585295
1989-02-01,7.5625957422881696
1989-03-01,7.8481318725351201
1989-04-01,8.0825329712934213
1989-05-01,8.3710512960258008
1989-06-01,8.6380315494744799
1989-07-01,8.9326053283929703
1989-08-01,9.2253057657409290
1989-09-01,9.5743755713187095
1989-10-01,9.8908838230460194
1989-11-01,10.2175232712815998
1989-12-01,10.5820228914371999
1990-01-01,10.9919388006155998
1990-02-01,11.3408218842394000
1990-03-01,11.6994037959126000
1990-04-01,12.1035703524687008
1990-05-01,12.4770272696353004
1990-06-01,12.8684653579142001
1990-07-01,13.2923976576994995
1990-08-01,13.6922321118737003
1990-09-01,14.0902659235987997
1990-10-01,14.4794671747000994
1990-11-01,14.8980587674506992
1990-12-01,15.3718412374105995
1991-01-01,15.8528285729285994
1991-02-01,16.2661552187817016
1991-03-01,16.6147038864470993
1991-04-01,16.8784754302531006
1991-05-01,17.1105539833959988
1991-06-01,17.3181352283870993
1991-07-01,17.5330437795618010
1991-08-01,17.7245095424720986
1991-09-01,17.9461538585585991
1991-10-01,18.1871445587317986
1991-11-01,18.4517861962330016
1991-12-01,18.8498460265909991
1992-01-01,19.3233721364910984
1992-02-01,19.6640761863299005
1992-03-01,19.9149164695726988
1992-04-01,20.1138296835305006
1992-05-01,20.3280770553275012
1992-06-01,20.5449745014131011
1992-07-01,20.7551981681538003
1992-08-01,20.9571088816752003
1992-09-01,21.1325907861771007
1992-10-01,21.2792532284462013
1992-11-01,21.4300549291119005
1992-12-01,21.5866870993143003
1993-01-01,21.7986410051444004
1993-02-01,22.0143270542913001
1993-03-01,22.1976007740999997
1993-04-01,22.3547173500272010
1993-05-01,22.4893147991585991
1993-06-01,22.6154278781950993
1993-07-01,22.7555780096939984
1993-08-01,22.8695419176628008
1993-09-01,22.9678112332011004
1993-10-01,23.0905518382582997
1993-11-01,23.2026508224495984
1993-12-01,23.3671467418262999
1994-01-01,23.5563902073832985
1994-02-01,23.7426905064042018
1994-03-01,23.8838844442358003
1994-04-01,24.0176439403362991
1994-05-01,24.1503221326625983
1994-06-01,24.2822549676811015
1994-07-01,24.4038063681629005
1994-08-01,24.5129606553103017
1994-09-01,24.6152460233657990
1994-10-01,24.7183601614053003
1994-11-01,24.8135722875749991
1994-12-01,24.9855830003433006
1995-01-01,25.6595711981141008
1995-02-01,26.6461885755448016
1995-03-01,27.6461741735211000
1995-04-01,29.4927685894023988
1995-05-01,30.7453025173476000
1995-06-01,31.7581711648908005
1995-07-01,32.4399794923631006
1995-08-01,32.9664665295800035
1995-09-01,33.4297558379323974
1995-10-01,33.8864823287565997
1995-11-01,34.3879333190693970
1995-12-01,35.3684738152045028
1996-01-01,36.3577642245412989
1996-02-01,37.1820107927020018
1996-03-01,37.8976058455339029
1996-04-01,38.7388678343731030
1996-05-01,39.3620959750708934
1996-06-01,39.9014660618547978
1996-07-01,40.5803580066777982
1996-08-01,41.1117067019820013
1996-09-01,41.5706202884796951
1996-10-01,41.9658509751340958
1996-11-01,42.3744491170803030
1996-12-01,43.4009293359123021
1997-01-01,44.2419479740081982
1997-02-01,45.0287621471844020
1997-03-01,45.5951127910564011
1997-04-01,46.0618051835444930
1997-05-01,46.5897507947129981
1997-06-01,47.0933896459530033
1997-07-01,47.5625124848577983
1997-08-01,47.9810772937215972
1997-09-01,48.4132536738742019
1997-10-01,48.8422703206343982
1997-11-01,49.4832431689863981
1997-12-01,50.3317972623295020
1998-01-01,51.2773350446427969
1998-02-01,52.0092154659233969
1998-03-01,52.6608835029149986
1998-04-01,53.2918904496032013
1998-05-01,53.8470599686031051
1998-06-01,54.3628518171804984
1998-07-01,54.8562821812674031
1998-08-01,55.3725607313311983
1998-09-01,56.1486797158678002
1998-10-01,56.9021930999168930
1998-11-01,57.4991707357562021
1998-12-01,58.3557454553249997
1999-01-01,59.1607895071339058
1999-02-01,59.9432287237092964
1999-03-01,60.8848774856543997
1999-04-01,61.4490402685991057
1999-05-01,62.0409136608617970
1999-06-01,62.6673023002060035
1999-07-01,63.1631623454558024
1999-08-01,63.6488146688063026
1999-09-01,64.1201253686383978
1999-10-01,64.5394186992241004
1999-11-01,64.8831187181187090
1999-12-01,65.3794654648549027
2000-01-01,66.0112016985189030
2000-02-01,66.5780382786235094
2000-03-01,66.9766712841598064
2000-04-01,67.4188135659761940
2000-05-01,67.7992166928795967
2000-06-01,68.1584720279932981
2000-07-01,68.4153960798168015
2000-08-01,68.6076638288243004
2000-09-01,68.8162169462804059
2000-10-01,69.1302618456730045
2000-11-01,69.4314244607524955
2000-12-01,69.7812005956887020
2001-01-01,70.2799777888416060
2001-02-01,70.6854169626491995
2001-03-01,71.0840499681853970
2001-04-01,71.4330968161460049
2001-05-01,71.7274532629541000
2001-06-01,71.9919120047708958
2001-07-01,72.3040131592332926
