observation_date,MEXCPIENGMINMEI
1980-01-01,0.027271040000000000
1980-02-01,0.027384199999999900
1980-03-01,0.027486350000000000
1980-04-01,0.027626589999999999
1980-05-01,0.026924219999999999
1980-06-01,0.026686099999999900
1980-07-01,0.026806900000000002
1980-08-01,0.026832120000000001
1980-09-01,0.027694930000000000
1980-10-01,0.028356429999999998
1980-11-01,0.028603070000000001
1980-12-01,0.029264220000000001
1981-01-01,0.029578130000000001
1981-02-01,0.029858010000000001
1981-03-01,0.030159370000000001
1981-04-01,0.030433109999999999
1981-05-01,0.029609119999999999
1981-06-01,0.029457469999999999
1981-07-01,0.029746660000000001
1981-08-01,0.030048950000000001
1981-09-01,0.031269550000000000
1981-10-01,0.031846529999999998
1981-11-01,0.032404179999999998
1981-12-01,0.037575879999999999
1982-01-01,0.047906410000000003
1982-02-01,0.048259379999999998
1982-03-01,0.048667549999999997
1982-04-01,0.048979099999999998
1982-05-01,0.048024680000000000
1982-06-01,0.047793090000000003
1982-07-01,0.048123859999999997
1982-08-01,0.074553369999999994
1982-09-01,0.076423119999999997
1982-10-01,0.077417520000000004
1982-11-01,0.078442390000000001
1982-12-01,0.135760400000000003
1983-01-01,0.142100699999999996
1983-02-01,0.145146100000000000
1983-03-01,0.147119699999999992
1983-04-01,0.165432999999999997
1983-05-01,0.168455399999999894
1983-06-01,0.170114600000000005
1983-07-01,0.173145499999999897
1983-08-01,0.175293100000000007
1983-09-01,0.178251700000000013
1983-10-01,0.185141599999999990
1983-11-01,0.213330099999999995
1983-12-01,0.214723500000000012
1984-01-01,0.227491799999999911
1984-02-01,0.230653299999999895
1984-03-01,0.233633299999999988
1984-04-01,0.265395599999999898
1984-05-01,0.284806599999999910
1984-06-01,0.285569499999999976
1984-07-01,0.287592200000000020
1984-08-01,0.288984599999999980
1984-09-01,0.291237299999999977
1984-10-01,0.292670800000000009
1984-11-01,0.296706499999999984
1984-12-01,0.299226500000000006
1985-01-01,0.378188000000000024
1985-02-01,0.388824400000000014
1985-03-01,0.393793000000000004
1985-04-01,0.397702000000000000
1985-05-01,0.397428000000000003
1985-06-01,0.398970199999999997
1985-07-01,0.402404299999999993
1985-08-01,0.406081099999999973
1985-09-01,0.412148300000000023
1985-10-01,0.417166099999999984
1985-11-01,0.423000099999999990
1985-12-01,0.577268900000000085
1986-01-01,0.657027299999999981
1986-02-01,0.676765900000000031
1986-03-01,0.697354199999999924
1986-04-01,0.713315699999999886
