observation_date,MEXCPGRSE01GYM
1970-01-01,4.9597970000000000
1970-02-01,5.2942749999999998
1970-03-01,5.4250759999999998
1970-04-01,5.7077739999999997
1970-05-01,5.7890009999999998
1970-06-01,6.1754140000000000
1970-07-01,5.8380460000000003
1970-08-01,6.7579949999999993
1970-09-01,6.6916419999999999
1970-10-01,5.3405480000000001
1970-11-01,5.6686540000000001
1970-12-01,5.9314499999999999
1971-01-01,6.0548820000000001
1971-02-01,6.2094860000000001
1971-03-01,6.2958110000000005
1971-04-01,6.4451320000000001
1971-05-01,6.6867109999999998
1971-06-01,7.3947929999999982
1971-07-01,7.0799369999999993
1971-08-01,7.9374250000000002
1971-09-01,7.8153050000000004
1971-10-01,7.4022550000000003
1971-11-01,6.7507770000000002
1971-12-01,7.3690350000000002
1972-01-01,6.6085529999999997
1972-02-01,6.4568650000000005
1972-03-01,6.5314309999999995
1972-04-01,7.0505949999999995
1972-05-01,6.7496570000000009
1972-06-01,6.1308140000000000
1972-07-01,6.7445399999999998
1972-08-01,5.6295299999999999
1972-09-01,6.0775829999999997
1972-10-01,6.0988400000000000
1972-11-01,6.1160850000000000
1972-12-01,5.4725539999999997
1973-01-01,6.1093999999999999
1973-02-01,6.2436540000000003
1973-03-01,6.5879649999999996
1973-04-01,7.1895470000000001
1973-05-01,7.4394869999999997
1973-06-01,7.5608100000000018
1973-07-01,7.9104679999999981
1973-08-01,8.6311460000000011
1973-09-01,9.4099120000000003
1973-10-01,10.5895299999999999
1973-11-01,11.4170099999999994
1973-12-01,13.7956599999999998
1974-01-01,14.4182200000000016
1974-02-01,15.2794299999999996
1974-03-01,15.0530299999999997
1974-04-01,15.0680200000000006
1974-05-01,15.0863999999999994
1974-06-01,14.9054699999999993
1974-07-01,16.4130700000000012
1974-08-01,16.0728700000000018
1974-09-01,16.6180400000000006
1974-10-01,18.1314199999999985
1974-11-01,18.5722300000000011
1974-12-01,17.0582200000000022
1975-01-01,18.1808499999999995
1975-02-01,17.3429000000000002
1975-03-01,17.8449200000000019
1975-04-01,17.4564400000000006
1975-05-01,17.5121799999999972
1975-06-01,18.4433800000000012
1975-07-01,16.9703100000000013
1975-08-01,17.7601200000000006
1975-09-01,16.7981000000000016
1975-10-01,14.5229599999999994
1975-11-01,14.3108699999999995
1975-12-01,13.9400600000000008
1976-01-01,14.4218700000000020
1976-02-01,17.0316700000000019
1976-03-01,17.1629299999999994
1976-04-01,16.7100700000000018
1976-05-01,17.3113500000000009
1976-06-01,16.3044300000000000
1976-07-01,16.6074100000000016
1976-08-01,16.8970500000000001
1976-09-01,17.8233099999999993
1976-10-01,23.3390699999999995
1976-11-01,26.4403000000000006
1976-12-01,27.8555599999999970
1977-01-01,27.4192399999999985
1977-02-01,28.1363400000000006
1977-03-01,29.3350499999999990
1977-04-01,29.1629299999999994
1977-05-01,29.1013400000000040
1977-06-01,29.9281900000000007
1977-07-01,29.9506400000000035
1977-08-01,30.6618400000000015
1977-09-01,30.1076000000000015
1977-10-01,25.0398500000000013
1977-11-01,22.1225400000000008
1977-12-01,21.9817299999999989
1978-01-01,23.4007599999999982
1978-02-01,22.1414200000000001
1978-03-01,20.5599400000000010
1978-04-01,20.4949599999999990
1978-05-01,20.0672800000000002
1978-06-01,19.5036699999999996
1978-07-01,19.6905299999999990
1978-08-01,18.3795700000000011
1978-09-01,18.5167399999999986
1978-10-01,19.0534399999999984
1978-11-01,18.7394999999999996
1978-12-01,17.5408799999999978
1979-01-01,17.2401700000000027
1979-02-01,17.0966699999999996
1979-03-01,18.3902999999999999
1979-04-01,18.5947800000000001
1979-05-01,18.5318700000000014
